INSERT INTO Підприємство (найменування, розрахунковий_рахунок, річний_дохід) VALUES
('АгроІнвест', 'UA123456789012345678901234567', 12000000.50),
('Будівельник Плюс', 'UA987654321098765432109876543', 8500000.00),
('ЕкоФарм', 'UA456789123456789123456789123', 5600000.75),
('Лісова Галявина', 'UA321456987654321456987654321', 7500000.20),
('МеталПром', 'UA789123456789123456789123456', 9400000.60),
('СонцеВітряк', 'UA654321789654321789654321789', 3000000.00),
('ТехноБуд', 'UA987654321012345678901234567', 4700000.90),
('МолокоПлюс', 'UA123098456123098456123098456', 6700000.35),
('КиївАгроТех', 'UA456789123654789123654789123', 8100000.45),
('ЗерноІнвест', 'UA321654987321654987321654987', 9200000.80),
('АвтоТрейд', 'UA741852963741852963741852963', 11000000.95),
('ХлібПром', 'UA963852741963852741963852741', 4500000.25),
('ФармаКом', 'UA852741963852741963852741963', 6300000.60),
('МегаБуд', 'UA789654123789654123789654123', 1200000.30),
('ОліяПродукт', 'UA147258369147258369147258369', 5300000.15),
('СадОвоч', 'UA258369147258369147258369147', 4300000.75),
('ЕлектроСила', 'UA369147258369147258369147258', 7800000.90),
('АгроСервіс', 'UA963258741963258741963258741', 8900000.25),
('КорабельБуд', 'UA741369852741369852741369852', 10500000.65),
('БетонПром', 'UA159357486159357486159357486', 6800000.40);
